from,to,trans,req_min,req_min+walk,price,cost_performance
中井,日本橋(東京都),1,30,39,6.9,2162.1230040688492
若松河田,日本橋(東京都),1,25,34,8.0,2171.2507287250137
東陽町,銀座一丁目,1,23,34,8.0,2171.2507287250137
千石,東京,0,22,34,8.0,2171.2507287250137
大岡山,宝町,1,32,35,7.8,2186.4068777091534
幡ヶ谷,日本橋(東京都),1,26,35,7.8,2186.4068777091534
大崎,日本橋(東京都),1,23,32,8.5,2187.598237534026
稲荷町,新富町,1,24,32,8.5,2187.598237534026
小伝馬町,銀座一丁目,0,19,30,9.0,2194.3564516129704
大塚,日本橋(東京都),1,28,37,7.4,2205.451296656936
京急蒲田,八丁堀,1,34,37,7.4,2205.451296656936
天空橋,宝町,0,35,38,7.2,2211.2771085534214
明大前,東京,1,27,39,7.0,2213.8972413976767
信濃町,日本橋(東京都),1,22,31,8.8,2218.5792507099
浅草橋,銀座一丁目,1,20,31,8.8,2218.5792507099
戸越,茅場町,1,25,34,8.1,2226.535526182402
戸越銀座,日本橋(東京都),0,26,35,7.9,2239.3767978435335
西小山,宝町,1,32,35,7.9,2239.3767978435335
西新宿五丁目,宝町,1,33,36,7.7,2251.2344785502664
品川,新富町,1,22,30,9.1,2252.6851860737956
新木場,日本橋(東京都),1,21,30,9.1,2252.6851860737956
湯島,銀座一丁目,1,19,30,9.1,2252.6851860737956
洗足,宝町,1,34,37,7.5,2259.864884096975
牛込柳町,日本橋(東京都),1,24,33,8.4,2263.3191806579157
馬喰横山,銀座一丁目,1,22,33,8.4,2263.3191806579157
糀谷,八丁堀,1,35,38,7.3,2265.2114617637485
とうきょうスカイツリー,八丁堀,1,32,35,8.0,2296.1117858090643
三軒茶屋,新富町,1,27,35,8.0,2296.1117858090643
高輪ゲートウェイ,日本橋(東京都),0,21,30,9.2,2312.7915366545385
四谷三丁目,新富町,1,22,30,9.2,2312.7915366545385
中目黒,八丁堀,0,27,30,9.2,2312.7915366545385
中目黒,宝町,1,27,30,9.2,2312.7915366545385
越中島,日本橋(東京都),1,21,30,9.2,2312.7915366545385
天空橋,東京,1,27,39,7.2,2320.0821896212847
代田橋,東京,1,27,39,7.2,2320.0821896212847
稲荷町,銀座一丁目,0,22,33,8.5,2322.021178410519
新御茶ノ水,銀座一丁目,0,20,31,9.0,2337.3822282311367
東北沢,八丁堀,1,32,35,8.1,2354.575819160255
本所吾妻橋,新富町,1,27,35,8.1,2354.575819160255
京成上野,銀座一丁目,0,26,37,7.7,2371.462934847289
