line,from,to,trans,req_min,req_min+walk
東京メトロ丸ノ内線,茗荷谷,宝町,1,52,55
東京メトロ丸ノ内線,後楽園,宝町,1,36,39
東京メトロ丸ノ内線,本郷三丁目,宝町,1,28,31
東京メトロ丸ノ内線,御茶ノ水,宝町,1,17,20
東京メトロ丸ノ内線,淡路町,宝町,1,19,22
東京メトロ丸ノ内線,大手町,宝町,1,7,10
東京メトロ丸ノ内線,東京,宝町,1,13,16
東京メトロ丸ノ内線,銀座,宝町,1,6,9
東京メトロ丸ノ内線,霞ケ関,宝町,1,10,13
東京メトロ丸ノ内線,国会議事堂前,宝町,1,23,26
東京メトロ丸ノ内線,赤坂見附,宝町,1,15,18
東京メトロ丸ノ内線,四ツ谷,宝町,1,26,29
東京メトロ丸ノ内線,新宿三丁目,宝町,1,27,30
東京メトロ丸ノ内線,新宿,宝町,1,28,31
東京メトロ丸ノ内線,中野坂上,宝町,1,35,38
東京メトロ丸ノ内線,荻窪,宝町,1,39,42
東京メトロ副都心線,池袋,宝町,1,38,41
東京メトロ副都心線,東新宿,宝町,1,41,44
東京メトロ副都心線,新宿三丁目,宝町,1,27,30
東京メトロ副都心線,渋谷,宝町,1,25,28
東京メトロ千代田線,北千住,宝町,1,25,28
東京メトロ千代田線,町屋,宝町,1,41,44
