,line,price,from,to,trans,min,lat,lng
181,ＪＲ高崎線,7.6,宮原,渋谷,0,41,35.9402916,139.6095706
182,ＪＲ高崎線,6.3,上尾,渋谷,0,45,35.9735224,139.5888177
183,ＪＲ高崎線,6.2,北上尾,渋谷,0,48,35.985623,139.5771969
184,ＪＲ高崎線,6.3,桶川,渋谷,0,49,35.9987564,139.5640318
185,ＪＲ高崎線,5.9,北本,渋谷,0,53,36.0316056,139.5340041
186,ＪＲ高崎線,5.8,鴻巣,渋谷,0,57,36.0592413,139.5096429
187,ＪＲ宇都宮線,19.8,上野,渋谷,0,28,35.7141672,139.7774091
188,ＪＲ宇都宮線,14.0,尾久,渋谷,1,29,35.746768,139.7546
189,ＪＲ宇都宮線,16.0,赤羽,渋谷,0,21,35.7776951,139.7205691
190,ＪＲ宇都宮線,9.9,浦和,渋谷,0,31,35.8587283,139.6573784
191,ＪＲ宇都宮線,10.9,さいたま新都心,渋谷,1,39,35.893795,139.633741
192,ＪＲ宇都宮線,9.0,大宮,渋谷,0,37,35.9064485,139.6238548
193,ＪＲ宇都宮線,8.7,土呂,渋谷,0,43,35.9318741,139.6321561
194,ＪＲ宇都宮線,7.1,東大宮,渋谷,0,46,35.9487549,139.6402863
195,ＪＲ宇都宮線,6.6,蓮田,渋谷,0,50,35.981286,139.653069
196,ＪＲ宇都宮線,7.1,白岡,渋谷,0,55,36.017588,139.667094
197,ＪＲ宇都宮線,7.3,新白岡,渋谷,0,58,36.0387413,139.6721114
198,ＪＲ総武線,9.7,津田沼,渋谷,1,54,35.6912149,140.0204072
199,ＪＲ総武線,10.0,東船橋,渋谷,1,57,35.6998137,140.0042979
200,ＪＲ総武線,9.9,船橋,渋谷,1,50,35.7017357,139.9853815
201,ＪＲ総武線,9.5,西船橋,渋谷,1,44,35.7074443,139.9590775
202,ＪＲ総武線,9.5,下総中山,渋谷,1,49,35.7143133,139.9430576
203,ＪＲ総武線,10.7,本八幡,渋谷,1,47,35.7210914,139.9272341
204,ＪＲ総武線,10.8,市川,渋谷,1,44,35.728821,139.908197
205,ＪＲ総武線,11.0,小岩,渋谷,1,42,35.7333003,139.881958
206,ＪＲ総武線,11.5,新小岩,渋谷,1,38,35.7174462,139.8586312
207,ＪＲ総武線,12.5,平井,渋谷,1,36,35.7065625,139.8427227
208,ＪＲ総武線,14.2,亀戸,渋谷,1,33,35.6973225,139.8265658
209,ＪＲ総武線,17.4,錦糸町,渋谷,0,28,35.6967393,139.8144835
210,ＪＲ総武線,18.9,両国,渋谷,1,29,35.6961328,139.7927196
211,ＪＲ総武線,17.4,東中野,渋谷,1,12,35.7062478,139.6837613
212,ＪＲ総武線,17.2,中野,渋谷,0,45,35.7057972,139.6657777
213,ＪＲ総武線,16.9,高円寺,渋谷,1,18,35.7053457,139.6499291
214,ＪＲ総武線,16.5,阿佐ケ谷,渋谷,0,54,35.7049247,139.6361231
215,ＪＲ総武線,15.5,荻窪,渋谷,1,20,35.7044977,139.6190582
216,ＪＲ総武線,15.1,西荻窪,渋谷,1,25,35.7036961,139.600182
217,ＪＲ総武線,14.0,吉祥寺,渋谷,0,19,35.7031485,139.5798087
218,ＪＲ総武線,14.2,三鷹,渋谷,1,25,35.7027156,139.5610291
