line,price,from,to,trans,min,train+walk_min,lat,lng
ＪＲ埼京線,6.3,武蔵小杉,大塚,1,35,43,35.5766335,139.659466
ＪＲ埼京線,7.7,西大井,大塚,1,29,37,35.60179189999999,139.7218021
ＪＲ埼京線,8.2,大崎,大塚,0,27,35,35.6198513,139.7281892
ＪＲ埼京線,11.0,恵比寿,大塚,0,21,29,35.6467145,139.7100818
ＪＲ埼京線,11.0,渋谷,大塚,0,18,26,35.6580339,139.7016358
ＪＲ埼京線,8.2,新宿,大塚,0,11,19,35.6896067,139.7005713
ＪＲ埼京線,7.3,池袋,大塚,0,3,11,35.7295028,139.7109001
ＪＲ埼京線,6.8,板橋,大塚,1,14,22,35.7454959,139.7197748
ＪＲ埼京線,6.5,十条,大塚,1,16,24,35.760257,139.7222387
ＪＲ埼京線,7.0,赤羽,大塚,1,18,26,35.7777451,139.7210653
ＪＲ埼京線,6.4,北赤羽,大塚,1,21,29,35.7866831,139.706194
ＪＲ埼京線,6.1,浮間舟渡,大塚,1,23,31,35.7912024,139.6914026
ＪＲ埼京線,5.0,戸田公園,大塚,1,25,33,35.8080807,139.6780402
ＪＲ埼京線,5.3,戸田,大塚,1,28,36,35.8176661,139.6696195
