line,station,lat,lng,price,to_station,trans,train_min,walk_min,total_min
JR八高線,東飯能,35.853014,139.32613,3.7,虎ノ門ヒルズ,2,80,4,84
JR八高線,高麗川,35.8962482,139.3379637,5.0,虎ノ門ヒルズ,2,89,4,93
JR八高線,毛呂,35.9407256,139.3093221,3.2,虎ノ門ヒルズ,2,101,4,105
JR八高線,越生,35.9621646,139.2993754,3.8,虎ノ門ヒルズ,2,118,4,122
JR八高線,明覚,36.0033412,139.2888535,3.8,虎ノ門ヒルズ,2,111,4,115
JR八高線,小川町,36.0584173,139.2613431,3.8,虎ノ門ヒルズ,1,20,4,24
JR八高線,竹沢,36.075486,139.2299346,3.3,虎ノ門ヒルズ,2,110,4,114
JR八高線,折原,36.0962049,139.1952423,4.0,虎ノ門ヒルズ,2,156,4,160
JR八高線,寄居,36.1178872,139.1945371,4.5,虎ノ門ヒルズ,2,120,4,124
JR八高線,用土,36.1534903,139.2009318,4.0,虎ノ門ヒルズ,2,146,4,150
JR八高線,松久,36.1729598,139.1821264,2.8,虎ノ門ヒルズ,2,143,4,147
JR八高線,児玉,36.1925208,139.1359073,3.6,虎ノ門ヒルズ,2,135,4,139
JR八高線,丹荘,36.2167652,139.1023958,3.4,虎ノ門ヒルズ,2,130,4,134
JR八高線,群馬藤岡,36.2501593,139.0833239,2.0,虎ノ門ヒルズ,2,125,4,129
JR八高線,北藤岡,36.2826529,139.0804668,3.3,虎ノ門ヒルズ,2,120,4,124
JR八高線,倉賀野,36.3002847,139.0491638,4.3,虎ノ門ヒルズ,2,121,4,125
JR八高線,高崎,36.3228267,139.0126623,4.5,虎ノ門ヒルズ,2,97,4,101
JR内房線,千葉,35.6129259,140.1134781,6.0,虎ノ門ヒルズ,2,73,4,77
JR内房線,本千葉,35.6018503,140.1207196,6.1,虎ノ門ヒルズ,2,73,4,77
JR内房線,蘇我,35.5814199,140.1311605,5.3,虎ノ門ヒルズ,2,58,4,62
JR内房線,浜野,35.5520062,140.1320503,3.8,虎ノ門ヒルズ,2,63,4,67
JR内房線,八幡宿,35.5363502,140.1200926,4.3,虎ノ門ヒルズ,2,66,4,70
JR内房線,五井,35.5133059,140.0896418,4.8,虎ノ門ヒルズ,2,70,4,74
JR内房線,姉ケ崎,35.4785957,140.042129,5.6,虎ノ門ヒルズ,2,75,4,79
JR内房線,長浦,35.4504102,139.9954503,5.4,虎ノ門ヒルズ,2,171,4,175
JR内房線,袖ケ浦,35.4321885,139.9578287,5.5,虎ノ門ヒルズ,2,83,4,87
JR内房線,木更津,35.3815785,139.926229,5.0,虎ノ門ヒルズ,2,90,4,94
JR内房線,君津,35.3336671,139.8950422,4.4,虎ノ門ヒルズ,2,101,4,105
JR内房線,青堀,35.3305311,139.8589388,4.7,虎ノ門ヒルズ,2,105,4,109
JR内房線,大貫,35.2917576,139.8556351,4.2,虎ノ門ヒルズ,2,110,4,114
JR内房線,佐貫町,35.2606378,139.8760935,4.0,虎ノ門ヒルズ,2,114,4,118
JR内房線,上総湊,35.2222772,139.8712827,4.0,虎ノ門ヒルズ,2,119,4,123
JR内房線,竹岡,35.1975452,139.8300299,4.0,虎ノ門ヒルズ,2,145,4,149
JR内房線,浜金谷,35.1681316,139.8222539,4.0,虎ノ門ヒルズ,2,150,4,154
JR内房線,保田,35.1410571,139.8383573,4.0,虎ノ門ヒルズ,2,154,4,158
JR内房線,安房勝山,35.1140268,139.833394,4.0,虎ノ門ヒルズ,2,159,4,163
JR内房線,岩井,35.0932796,139.8498934,4.0,虎ノ門ヒルズ,2,162,4,166
JR内房線,富浦,35.0460623,139.837813,4.0,虎ノ門ヒルズ,2,162,4,166
JR内房線,那古船形,35.02900899999999,139.8513958,5.5,虎ノ門ヒルズ,2,166,4,170
