line,from,to,trans,req_min,req_min+walk,price
京成成田空港線,青砥,宝町,0,24,27,5.4
京成成田空港線,京成高砂,宝町,0,27,30,5.0
京成成田空港線,東松戸,宝町,0,34,37,5.8
京成成田空港線,千葉ニュータウン中央,宝町,0,47,50,4.4
京成成田空港線,印旛日本医大,宝町,0,52,55,4.0
京成成田空港線,成田湯川,宝町,0,54,57,3.4
京成押上線,京成曳舟,宝町,0,18,21,6.9
京成押上線,八広,宝町,0,20,23,6.5
京成押上線,四ツ木,宝町,0,23,26,5.8
京成押上線,京成立石,宝町,0,25,28,5.8
京成押上線,青砥,宝町,0,24,27,5.4
京成押上線,京成高砂,宝町,0,27,30,5.0
京成本線,八千代台,宝町,0,55,58,3.1
京成本線,実籾,宝町,1,57,60,4.2
京成本線,京成大久保,宝町,1,55,58,4.1
京成本線,京成津田沼,宝町,0,47,50,6.0
京成本線,谷津,宝町,1,55,58,5.3
京成本線,船橋競馬場,宝町,1,49,52,5.2
京成本線,大神宮下,宝町,1,48,51,5.4
京成本線,京成船橋,宝町,0,42,45,6.0
京成本線,海神,宝町,1,50,53,6.1
京成本線,京成西船,宝町,1,50,53,6.6
京成本線,東中山,宝町,1,43,46,5.4
京成本線,京成中山,宝町,1,41,44,5.5
京成本線,鬼越,宝町,1,40,43,5.5
京成本線,京成八幡,宝町,0,35,38,6.0
京成本線,菅野,宝町,1,48,51,6.0
京成本線,市川真間,宝町,1,43,46,6.3
京成本線,国府台,宝町,1,41,44,6.4
京成本線,江戸川,宝町,1,40,43,6.0
京成本線,京成小岩,宝町,1,34,37,5.9
京成本線,京成高砂,宝町,0,27,30,5.0
京成本線,青砥,宝町,0,24,27,5.4
京成本線,お花茶屋,宝町,1,28,31,5.5
京成本線,堀切菖蒲園,宝町,1,32,35,5.3
京成本線,京成関屋,宝町,1,34,37,7.4
京成本線,千住大橋,宝町,1,36,39,7.3
京成本線,町屋,宝町,1,41,44,6.5
京成本線,新三河島,宝町,1,41,44,7.0
京成本線,日暮里,宝町,1,28,31,7.5
京成本線,京成上野,宝町,1,22,25,7.7
京成金町線,京成高砂,宝町,0,27,30,5.0
京成金町線,柴又,宝町,1,34,37,4.9
京成金町線,京成金町,宝町,1,37,40,4.9
京王井の頭線,渋谷,宝町,1,25,28,10.8
京王井の頭線,明大前,宝町,1,42,45,7.0
京王井の頭線,吉祥寺,宝町,1,44,47,6.3
京王線,初台,宝町,1,33,36,8.0
京王線,幡ヶ谷,宝町,1,35,38,7.8
京王線,新宿,宝町,1,28,31,8.2
京王線,笹塚,宝町,1,37,40,7.5
京王線,代田橋,宝町,1,38,41,7.2
京王線,明大前,宝町,1,42,45,7.0
京王線,下高井戸,宝町,1,42,45,6.3
京王線,桜上水,宝町,1,46,49,6.2
京王線,上北沢,宝町,1,46,49,6.3
京王線,八幡山,宝町,1,48,51,6.4
京王線,芦花公園,宝町,1,55,58,6.2
京王線,千歳烏山,宝町,1,53,56,6.0
京王線,仙川,宝町,1,56,59,6.0
北総鉄道北総線,京成高砂,宝町,0,27,30,5.0
北総鉄道北総線,新柴又,宝町,0,35,38,5.5
北総鉄道北総線,矢切,宝町,0,37,40,5.1
北総鉄道北総線,北国分,宝町,0,40,43,5.1
北総鉄道北総線,秋山,宝町,0,42,45,5.7
北総鉄道北総線,東松戸,宝町,0,34,37,5.8
北総鉄道北総線,松飛台,宝町,0,46,49,5.4
北総鉄道北総線,大町,宝町,0,47,50,4.8
北総鉄道北総線,西白井,宝町,0,44,47,3.3
北総鉄道北総線,白井,宝町,0,46,49,4.5
北総鉄道北総線,小室,宝町,0,48,51,3.7
北総鉄道北総線,千葉ニュータウン中央,宝町,0,47,50,4.4
北総鉄道北総線,印西牧の原,宝町,0,56,59,3.2
北総鉄道北総線,印旛日本医大,宝町,0,52,55,4.0
千葉モノレール1号線,千葉,宝町,1,55,58,5.4
小田急小田原線,新宿,宝町,1,28,31,8.2
小田急小田原線,小田原,宝町,1,53,56,5.2
小田急江ノ島線,藤沢,宝町,1,54,57,5.6
新京成線,京成津田沼,宝町,0,47,50,6.0
新京成線,新津田沼,宝町,1,50,53,5.5
新京成線,北習志野,宝町,1,56,59,3.5
新京成線,高根木戸,宝町,1,56,59,3.5
新京成線,高根公団,宝町,1,55,58,3.5
新京成線,滝不動,宝町,1,53,56,4.0
新京成線,三咲,宝町,1,52,55,3.9
新京成線,二和向台,宝町,1,50,53,4.0
新京成線,鎌ヶ谷大仏,宝町,1,49,52,3.7
新京成線,初富,宝町,1,46,49,4.0
新京成線,北初富,宝町,1,46,49,4.8
新京成線,くぬぎ山,宝町,1,49,52,4.8
新京成線,元山,宝町,1,51,54,4.1
新京成線,五香,宝町,1,52,55,3.7
新京成線,八柱,宝町,1,48,51,5.0
新京成線,松戸,宝町,1,45,48,5.5
日暮里・舎人ライナー,西日暮里,宝町,1,30,33,7.0
日暮里・舎人ライナー,日暮里,宝町,1,28,31,7.5
東京モノレール,浜松町,宝町,0,15,18,10.4
東京モノレール,天王洲アイル,宝町,1,23,26,9.1
東京モノレール,大井競馬場前,宝町,1,27,30,7.5
東京モノレール,流通センター,宝町,1,29,32,6.5
東京モノレール,昭和島,宝町,1,30,33,6.5
東京モノレール,整備場,宝町,1,33,36,7.1
東京モノレール,天空橋,宝町,0,35,38,7.2
東京モノレール,新整備場,宝町,1,40,43,4.2
東急世田谷線,下高井戸,宝町,1,42,45,6.3
東急多摩川線,多摩川,宝町,1,38,41,6.3
東急多摩川線,沼部,宝町,1,54,57,6.6
東急多摩川線,鵜の木,宝町,1,53,56,6.9
東急多摩川線,下丸子,宝町,1,51,54,6.5
東急多摩川線,武蔵新田,宝町,1,50,53,6.9
東急多摩川線,矢口渡,宝町,1,48,51,6.9
東急多摩川線,蒲田,宝町,0,42,45,7.3
東急大井町線,大井町,宝町,1,22,25,8.1
東急大井町線,下神明,宝町,1,28,31,7.8
東急大井町線,戸越公園,宝町,1,27,30,8.0
東急大井町線,中延,宝町,0,21,24,7.9
東急大井町線,荏原町,宝町,1,29,32,7.7
東急大井町線,旗の台,宝町,1,31,34,7.3
東急大井町線,北千束,宝町,1,36,39,7.5
東急大井町線,大岡山,宝町,1,32,35,7.8
東急大井町線,緑が丘,宝町,1,39,42,8.0
東急大井町線,自由が丘,宝町,1,38,41,8.0
東急大井町線,九品仏,宝町,1,43,46,7.3
東急大井町線,尾山台,宝町,1,45,48,7.0
東急大井町線,等々力,宝町,1,47,50,6.8
東急大井町線,上野毛,宝町,1,49,52,7.0
東急大井町線,二子玉川,宝町,1,54,57,6.8
東急大井町線,二子新地,宝町,1,56,59,6.6
東急大井町線,溝の口,宝町,1,54,57,6.8
東急新横浜線,新横浜,宝町,1,39,42,6.6
東急新横浜線,日吉,宝町,1,46,49,6.1
東急東横線,渋谷,宝町,1,25,28,10.8
東急東横線,中目黒,宝町,1,27,30,9.2
東急東横線,学芸大学,宝町,1,53,56,8.3
東急東横線,都立大学,宝町,1,54,57,8.7
東急東横線,自由が丘,宝町,1,38,41,8.0
東急東横線,田園調布,宝町,1,36,39,6.7
東急東横線,多摩川,宝町,1,38,41,6.3
東急東横線,新丸子,宝町,1,44,47,6.2
東急東横線,武蔵小杉,宝町,1,25,28,6.3
東急東横線,元住吉,宝町,1,48,51,6.2
東急東横線,日吉,宝町,1,46,49,6.1
東急東横線,東白楽,宝町,1,57,60,5.5
東急東横線,反町,宝町,1,55,58,6.9
東急東横線,横浜,宝町,0,47,50,6.8
東急池上線,五反田,宝町,0,16,19,8.9
東急池上線,大崎広小路,宝町,1,24,27,8.9
東急池上線,戸越銀座,宝町,0,24,27,7.9
東急池上線,荏原中延,宝町,1,29,32,8.0
東急池上線,旗の台,宝町,1,31,34,7.3
東急池上線,長原,宝町,1,32,35,7.1
東急池上線,洗足池,宝町,1,34,37,6.5
東急池上線,石川台,宝町,1,35,38,6.9
東急池上線,雪が谷大塚,宝町,1,37,40,6.5
東急池上線,御嶽山,宝町,1,39,42,6.8
東急池上線,久が原,宝町,1,40,43,6.8
東急池上線,千鳥町,宝町,1,44,47,6.9
東急池上線,池上,宝町,1,46,49,7.0
東急池上線,蓮沼,宝町,1,48,51,7.0
東急池上線,蒲田,宝町,0,42,45,7.3
東急田園都市線,渋谷,宝町,1,25,28,10.8
東急田園都市線,池尻大橋,宝町,1,40,43,8.7
東急田園都市線,二子玉川,宝町,1,54,57,6.8
東急田園都市線,二子新地,宝町,1,56,59,6.6
東急田園都市線,溝の口,宝町,1,54,57,6.8
東急目黒線,目黒,宝町,1,23,26,9.9
東急目黒線,不動前,宝町,1,25,28,8.5
東急目黒線,武蔵小山,宝町,1,27,30,8.0
東急目黒線,西小山,宝町,1,32,35,7.9
東急目黒線,洗足,宝町,1,34,37,7.5
東急目黒線,大岡山,宝町,1,32,35,7.8
東急目黒線,奥沢,宝町,1,38,41,8.0
東急目黒線,田園調布,宝町,1,36,39,6.7
東急目黒線,多摩川,宝町,1,38,41,6.3
東急目黒線,新丸子,宝町,1,44,47,6.2
東急目黒線,武蔵小杉,宝町,1,25,28,6.3
東急目黒線,元住吉,宝町,1,48,51,6.2
東急目黒線,日吉,宝町,1,46,49,6.1
東武亀戸線,亀戸,宝町,1,20,23,7.5
東武亀戸線,亀戸水神,宝町,1,38,41,7.0
東武亀戸線,東あずま,宝町,1,36,39,6.6
東武亀戸線,小村井,宝町,1,34,37,7.0
東武亀戸線,曳舟,宝町,0,27,30,7.4
東武伊勢崎線,浅草,宝町,0,11,14,8.1
東武伊勢崎線,とうきょうスカイツリー,宝町,0,29,32,8.0
東武伊勢崎線,曳舟,宝町,0,27,30,7.4
東武伊勢崎線,東向島,宝町,1,32,35,6.7
東武伊勢崎線,鐘ヶ淵,宝町,1,34,37,6.8
東武伊勢崎線,堀切,宝町,1,36,39,6.0
東武伊勢崎線,北千住,宝町,1,25,28,7.2
東武伊勢崎線,小菅,宝町,1,28,31,6.5
東武伊勢崎線,五反野,宝町,1,30,33,6.2
東武伊勢崎線,梅島,宝町,1,33,36,6.0
東武伊勢崎線,西新井,宝町,1,35,38,6.1
